NO_PRESTADOR;FANTASIA;NO_LIVRO;CEP;NUMERO;LOGRADOURO;BAIRRO;MUNICIPIO;UF;REGIAO_SAUDE;ESPECIALIDADES;DDD_TELEFONE1;TELEFONE1;DDD_TELEFONE2;TELEFONE2;DDD_CELULAR;CELULAR;DT_CREDENCIAMENTO
PROTEA NEURODESENVOLVIMENTO LTDA;PROTEA NEURODESENVOLVIMENTO LTDA;Nome;29146-550;158;RUA EDGAR GONÇALVES;CAMPO GRANDE;CARIACICA;ES;SR Vitória;PSICOLOGIA  / TERAPIA OCUPACIONAL / FONOAUDIOLOGIA;27;38021516;;;27;997604132;9/16/2025 12:00:00 AM
IMAGEM NOROESTE PADUENSE DIAGNOSTICOS DIGITAIS LTDA;IMAGEM NOROESTE;Nome;28470-000;112;CORONEL OLIVIER;CENTRO;SANTO ANTONIO DE PADUA;RJ;Noroeste;RADIOLOGIA E DIAGNÓSTICO POR IMAGEM;22;38530848;;;;;9/16/2025 12:00:00 AM
IL ASSISTENCIA MEDICA DOMICILIAR LTDA;MEDLAR HOME CARE AID HOME;Nome;64001-260;1977;RUA SÃO PEDRO;CENTRO;TERESINA;PI;TD Entre Rios;ENFERMAGEM  / FONOAUDIOLOGIA  / GERIATRIA   / FISIOTERAPIA / ORTOPEDIA E TRAUMATOLOGIA  / NEUROLOGIA  / TERAPIA OCUPACIONAL / CLÍNICA MÉDICA / GINECOLOGIA E OBSTETRICIA  / NUTRICAO / PSICOLOGIA;86;30254585;;;;;9/16/2025 12:00:00 AM
SUELEN DE CASSIA SILVA;SUELEN DE CASSI SILVA;Nome;38183-188;566;RUA DOM JOSÉ GASPAR;CENTRO;ARAXA;MG;Uberaba;FISIOTERAPIA;;;;;34;984122672;9/16/2025 12:00:00 AM
LABEX - LABORATORIOS DE EXAMES LTDA S/C;LABEX;Nome;27910-300;440;VILA JOÃO AGUIAR;CENTRO;MACAE;RJ;Norte;CARDIOLOGIA  / RADIOLOGIA E DIAGNÓSTICO POR IMAGEM;22;27576300;;;22;988240354;9/16/2025 12:00:00 AM
REABILITAR CLINICA DE FISIOTERAPIA LTDA;REABILITAR CLINICA DE FISIOTERAPIA;Nome;39480-000;575;PROFESSOR MANOEL AMBROSIO;CENTRO;JANUARIA;MG;Januária;FISIOTERAPIA;;;;;38;992114606;9/16/2025 12:00:00 AM
BERZIN PSIQUIATRIA LTDA;BERZIN PSIQUIATRIA;Nome;13010-211;360;AVENIDA OROSIMBO MAIA;CENTRO;CAMPINAS;SP;Campinas;PSIQUIATRIA;;;;;19;997389580;9/16/2025 12:00:00 AM
PROTEA NEURODESENVOLVIMENTO LTDA;PROTEA NEURODESENVOLVIMENTO;Nome;29200-107;111;RUA ZULEIMA FORTES FARIAS;CENTRO;GUARAPARI;ES;SR Vitória;TERAPIA OCUPACIONAL / PSICOLOGIA  / FONOAUDIOLOGIA;27;38021516;;;27;997604132;9/16/2025 12:00:00 AM
LA CLINICA DE FISIOTERAPIA LTDA;LA CLINICA DE FISIOTERAPIA;Nome;85900-020;2874;RUA ALMIRANTE BARROSO;CENTRO;TOLEDO;PR;Toledo;FISIOTERAPIA;;;;;45;998211842;9/16/2025 12:00:00 AM
CRISTINA TELOEKEN;CLINICA MOVIMENTE- SAUDE & DESENVOLVIMENTO;Nome;96200-320;439;RUA GENERAL CÂMARA;CENTRO;RIO GRANDE;RS;CRS 03 Pelotas;PSICOLOGIA;;;;;53;999453852;9/16/2025 12:00:00 AM
NEUROPSI SONIA FERNANDES LTDA;NEUROPSI SONIA FERNANDES;Nome;52050-245;1460;AVENIDA CONSELHEIRO ROSA E SILVA;GRAÇAS;RECIFE;PE;Recife;NEUROLOGIA;;;;;81;996025408;9/16/2025 12:00:00 AM
J V S MACHADO CIA LTDA;ULTRACLINICA;Nome;69900-363;213;RUA SILVESTRE COELHO;IPASE;RIO BRANCO;AC;Acre;CLÍNICA MÉDICA / RADIOLOGIA E DIAGNÓSTICO POR IMAGEM;;;;;68;996046485;9/16/2025 12:00:00 AM
TANIA AGUILA SILVEIRA PSICOLOGA;TANIA AGUILA SILVEIRA PSICOLOGA;Nome;14401-351;1940;RUA SANTA CATARINA;JARDIM BETHÂNIA;FRANCA;SP;Franca;PSICOLOGIA;;;;;16;991666656;9/16/2025 12:00:00 AM
CIRELLI FONOAUDIOLOGIA LTDA.;CIRELLI FONOAUDIOLOGIA;Nome;17516-020;271;RUA SÍLVIO MARINHO;JARDIM TANGARÁ;MARILIA;SP;Marília;FONOAUDIOLOGIA  / TERAPIA OCUPACIONAL / ASSISTENCIA A PESSOAS PORTADORAS DE DEFICIENCIAS;;;;;14;981646464;9/16/2025 12:00:00 AM
ESPACO CUIDAR LTDA;;Nome;62030-304;250;RUA FRANCISCO ALVES DE ARAÚJO;JUNCO;SOBRAL;CE;Sobral;FONOAUDIOLOGIA  / FISIOTERAPIA / TERAPIA OCUPACIONAL / ASSISTENCIA A PESSOAS PORTADORAS DE DEFICIENCIAS  / PSICOLOGIA;;;;;88;992097533;9/16/2025 12:00:00 AM
CINTIA TONETTI BONANDIN;Psicóloga Cíntia Tonetti;Nome;13201-150;68;RUA FLÁVIO COPPELI;PONTE DE CAMPINAS;JUNDIAI;SP;Campinas;PSICOLOGIA;;;;;11;934972233;9/16/2025 12:00:00 AM
CLINICA BLOOM MULTIDISCIPLINAR LTDA;CLINICA BLOOM MULTIDISCIPLINAR;Nome;29200-740;75;RUA PREFEITO EPAMINONDAS DE ALMEIDA;SÃO JUDAS TADEU;GUARAPARI;ES;SR Vitória;PSICOLOGIA  / TERAPIA OCUPACIONAL / FISIOTERAPIA / FONOAUDIOLOGIA;27;30308147;;;27;999358768;9/16/2025 12:00:00 AM
ADRIANO VASCONCELOS CUNHA;ADRIANO VASCONCELOS CUNHA;Nome;74080-010;323;RUA 83;SETOR SUL;GOIANIA;GO;Central;PSICOLOGIA;;;;;62;984664352;9/16/2025 12:00:00 AM
